2026-06-11 19:41:31.810 [info] Starting Excalidraw MCP server...
2026-06-11 19:41:31.811 [debug] Connecting to transport...
2026-06-11 19:41:31.811 [info] Excalidraw MCP server running on stdio
2026-06-11 19:41:31.819 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.819 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.819 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.819 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.820 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.820 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.821 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.821 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.821 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.822 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.823 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.824 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.825 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.826 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.827 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.828 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.829 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.830 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
2026-06-11 19:41:31.831 [error] Uncaught exception: write EPIPE
